"","Response.ID","IMPL_SUCC","CULT_INTG","BUDG_COMP","ORG_IMP","EMPL_SKI","DEPLOY","ACT_INTG","BUSI_IMP","TASK_COMP","STAKEH_ACC","EMPL_SAT","EMPL_BEL","DEC_IMP","LD_SUP","ORG_CUL","EMP_ATT","RES_AVL","LD_INV","PRJ_SEL","DEF_MEA","RES_CHG","LD_STL","ORG_CHR","DAT_QLT","EMP_ENG","TOOL_AP","CONTX_CUS","EFT_REQ","SCOPE","INSTIT","TRA_EDUC","WKF_SKL","EXP_CON","EXT_CON","UND_CNG","COM_KNW","PAT_RES","GOAL_CL","CUS_IDEF","GOAL_AL","SYS_COM","TEAM_ST"
"1",97622630,6,5,5,5,5,6,5,5,6,4,6,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,5,6,5,5,6,6,6,6
"2",97624424,5,5,6,6,5,5,6,5,4,6,6,5,5,6,6,4,5,5,5,6,4,6,6,6,5,5,5,5,5,6,6,5,6,5,5,6,5,4,5,6,3,6
"3",97630303,5,5,4,4,4,5,5,5,4,5,6,6,5,5,4,4,5,5,5,5,4,4,4,5,6,6,5,3,3,5,6,5,6,5,3,5,5,4,4,5,3,4
"4",98166705,4,2,4,3,3,2,2,3,2,4.515625,4,4,3,4,3,3,4,2,3,3,4,2,3,3,3,4,4,3,3,2,4,2,4,4.14516129032258,4.18461538461538,4.13846153846154,3.70769230769231,3.83076923076923,4.55384615384615,4.67692307692308,3.89230769230769,4.46153846153846
"5",98409139,4,5,5,3,3,5,5,3,5,4,2,2,2,5,4,2,2,4,4,4,4,4,4,3,4,3,3,2,2,5,4,5,3,3,2,2,2,2,2,3,4,4
"6",99224293,5,5,4,5,4,5,3,5,4,6,6,5,5,6,5,4,3,5,4,4,5,4,4,6,4,6,5,4,5,3,2,3,6,4,4,5,3,4,4,4,5,6
"7",99495427,5,5,6,6,6,4,5,2,6,5,5,5,4,5,5,5,5,5,6,5,5,6,5,5,6,6,5,5,4,5,6,5,6,4,6,5,5,5,5,6,5,5
"8",99582202,6,6,6,6,6,6,6,6,5,6,5,5,5,4,5,4,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6
"9",99702181,5,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
"10",99707607,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,4.14516129032258,4.18461538461538,4.13846153846154,3.70769230769231,3.83076923076923,4.55384615384615,4.67692307692308,3.89230769230769,4.46153846153846
"11",99976749,2,1,5,3,3,2,1,2,2,2,1,1,2,2,1,1,5,3,1,1,1,3,3,1,5,4,5,4,5,1,1,4,5,6,2,4,1,1,4,4,4,5
"12",100303491,5,5,2,5,4,1,5,4,3,5,5,5,5,4,5,4,1,2,2,2,4,5,3,1,5,5,5,5,5,6,6,3,6,6,4,6,4,6,5,6,3,6
"13",100428086,4,4,4,4.71212121212121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
"14",100433495,6,5,5,5,5,5,5,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,4,3,5,5,6,5,3,6,3,3,3,6,4,4
"15",100540392,6,6,5,6,5,5,5,5,5,4,5,5,6,6,5,5,5,5,5,6,4,6,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,6,6,5,5
"16",100940569,5,5,5,5,5,4,5,6,4,4,5,5,5,4,4,5,5,4,4,4,5,4,4,4,5,5,4,5,5,4,5,5,5,5,3,4,5,4,5,4,5,4
"17",101022227,5,5,5,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4,3,4,4,5,2,4,4,3,4,5,4,4,4
"18",101075718,4,2,2,5,5,5,5,5,3,5,4,5,5,3,3,3,5,2,2,2,4,2,2,2,4,4,5,5,4,4,3,3,2,2,2,3,4,3,3,3,4,2
"19",101521872,6,6,5,6,6,5,5,6,5,6,5,5,6,6,6,5,6,6,4,5,5,6,5,5,5,5,6,5,6,6,6,6,6,4,6,4,5,5,6,6,4,6
"20",101581149,4,4,2,5,5,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,5,4,3,4,4,4,4,4,4,4
"21",101581250,4,2,4,2,3,2,2,3,3,3,3,5,2,3,2,5,2,3,4,2,3,2,2,5,5,1,1,2,2,1,1,1,6,1,4,5,1,1,2,4,1,1
"22",101581342,4,4,4,5,4,4,4,5,2,3,4,3,2,4,3,4,3,4,4,5,3,4,4,5,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,5,2,3
"23",101581384,5,6,5,5,6,3,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,4,5,4,6,4,4,4,3,4,5,5,4,5
"24",101581475,5,5,4,5,5,3,4,5,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,5,4,3,3,5,5,4,4,4,4
"25",101582281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,6,2,1,1,4,1,1,1
"26",101582751,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3,5,5,4,4,4,4,5,5,5,5,5,6,4,6,5,4,4,5,6,5,5
"27",101582942,3,3,5,3,1,5,3,3,4,3,3,5,3,2,4,4,3,4,4,5,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4
"28",101583016,6,6,6,6,6,5,5,6,6,6,6,5,5,6,5,5,6,6,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,5,6,5,5,6,6,6,6,6
"29",101584626,5,5,6,5,5,5,5,5,5,5,4,4,5,6,6,4,3,4,5,4,4,5,5,4,4,4,4,2,4,4,6,6,5,4,4,4,4,4,4,4,4,4
"30",101585407,6,5,5,6,4,2,5,5,4,5,5,4,3,5,5,5,4,4,4,5,5,3,4,6,4,5,5,3,3,3,4,5,5,5,2,2,5,2,5,5,5,4
"31",101592831,5,5,6,6,5,5,5,5,6,6,6,5,5,5,5,5,4,6,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,6,3,4,5,5,5,5
"32",101599315,3,3,5,3,3,5,4,3,3,3,3,3,3,5,3,3,5,5,3,3,3,3,3,4,4,4,4,5,5,5,5,3,4,4,3,3,3,3,4,4,4,3
"33",101600072,5,5,5,6,6,4,5,5,4,5,5,5,5,5,6,6,5,5,4,5,4,5,5,5,5,5,5,5,5,5,6,5,6,4.14516129032258,6,6,5,5,6,6,6,6
"34",101637644,3,2,3,2,4,2,2,2,4,4,2,5,2,2,3,2,4,2,2,3,1,2,4,5,4,5,4,5,4,3,4,4,5,5,2,1,2,2,4,4,2,2
"35",101648914,4,5,5,5,5,6,4,5,5,6,5,5,5,5,6,6,4,4,4,5,4,5,5,5,6,5,5,5,6,4,6,5,6,5,4,5,4,6,6,5,6,6
"36",101649613,6,4,6,6,6,5,4,6,5,6,5,5,6,5,5,4,6,5,3,6,5,5,5,6,5,5,6,5,6,5,6,4,6,1,5,6,4,4,6,6,5,6
"37",101728354,5,4,4.70769230769231,4,5,5,4,4,4.12121212121212,4.515625,5,5,4,5,5,4,4,4,4,4.06060606060606,3,4,4.15384615384615,3,4,4,3,3,4,3.92424242424242,4,3,2,4,5,5,4,5,2,5,4,4
"38",101839518,4,3,4,5,5,3,3,4,4,4.515625,4,6,4.12121212121212,2,3,4,1,3,3,2,3.48484848484848,3,4.15384615384615,2,4,2,4,2,4,4,4,4,4,4,6,4,4,3,4,3,2,4
"39",101849037,5,6,5,4,4,5,5,4,5,4,4,4,4,5,6,5,4,5,4,4,3,5,4,5,4,5,5,5,5,3,5,5,5,4.14516129032258,4,4,4,4,6,4,4,5
"40",101978064,4,2,5,5,4,2,2,4,4,5,4,4,3,3,4,4,4,4,5,5,4,3,3,5,4,5,5,5,6,3,5,4,2,5,4,4,4,4,4,5,5,3
"41",101988884,5,5,4,4,5,5,5,5,3,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4
"42",102087579,6,5,6,5,5,2,3,6,6,4,5,5,2,4,3,4,2,6,6,5,3,6,5,6,6,6,6,6,3,1,2,1,5,6,1,1,1,2,5,5,5,5
"43",102100699,4,4,6,5,5,4,5,5,4,5,4,4,5,4,4,4,2,3,4,5,3,3,5,5,6,5,5,4,5,3,5,5,6,6,4,4,3,5,5,6,2,3
"44",102139140,4,4,3,4,4,1,1,4,1,5,4,2,4,5,2,1,1,4,2,4,2,4,2,5,2,5,5,2,3,1,6,2,6,6,1,4,2,2,5,2,3,3
"45",102845621,4,5,5,5,5,3,4,5,5,4,4,4,5,5,5,4,3,4,5,5,4,4,4,5,5,5,4,4,5,5,3,3,3,3,5,4,4,4,5,5,3,4
"46",103258749,4,5,5,5,5,3,4,5,4,5,5,5,5,5,6,5,4,6,5,4,5,5,5,4,6,5,5,3,4,5,5,4,5,5,5,4,5,4,5,5,4,5
"47",103715948,3,2,1,3,4,1,2,2,1,2,2,2,2,1,1,3,3,2,2,1,2,1,2,3,3,4,4,2,2,1,5,4,3,1,1,4,4,2,3,2,2,3
"48",104216908,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5,3,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5
"49",104431634,6,6,5,6,6,6,5,5,4,5,6,5,5,6,6,5,5,5,4,5,5,4,5,4,6,5,6,5,6,5,6,5,6,4,5,6,4,4,5,4,5,6
"50",104473492,5,5,4,5,5,5,4,4,4,4,5,5,4,6,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,4,4,3,4
"51",104700344,5,4,5,5,5,2,3,4,5,5,5,5,4,6,5,5,5,6,5,5,5,5,5,5,6,5,5,5,4,2,4,4,5,6,3,3,4,3,4,4,4,6
"52",104803336,5,2,5,5,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,6,5,5,5,4,3,5,4,5,2,4,4,4,4,4,4,5,5
"53",104853856,4,4,5,4,5,3,4,5,3,4,5,6,3,4,3,4,3,3,4,5,4,5,5,4,5,6,4,5,4,3,3,4,6,5,5,2,3,5,6,6,3,6
"54",105113360,5,5,5,4,5,5,4,4,3,4,5,5,4,6,5,4,5,6,3,3,2,5,2,2,5,5,5,5,5,6,6,5,6,4,4,3,3,4,4,6,4,5
"55",105322825,5,5,5,5,5,4,4,5,3,4,4,4,4,5,4,4,2,3,2,1,2,5,3,3,6,4,5,3,3,4,3,3,4,4,6,2,2,2,4,6,4,5
"56",105564951,2,5,4.70769230769231,4,4,1,3,2,4,5,5,5,3,4,5,5,3,3,2,3,3,3,4,3,6,5,5,4,3,5,5,3,6,1,5,6,5,5,4,5,3,4
"57",105575617,6,6,6,5,5,5,5,5,4,4,5,6,6,6,6,6,5,6,4,4,3,6,5,3,5,4,5,5,5,6,6,4,6,4,5,3,4,4,4,4,4,5
"58",105855616,5,4,3,4,4,3,5,4,3,4,5,6,4,4,4,6,3,3,4,3,3,3,4,4,5,5,5,5,4,3,3,4,6,3,4,4,3,4,3,4,1,4
"59",105858945,4,4,5,5,4,2,3,4,3,5,5,5,3,4,4,4,4,4,3,4,3,3,4,5,5,5,4,4.25757575757576,5,3,4,3,6,2,5,5,4,5,6,5,2,3
"60",105905898,5,4,6,6,6,4,4,6,6,6,6,4,4,4,5,4,4,5,5,4,3,4,5,5,6,6,6,5,5,4,4,3,6,5,5,3,5,3,5,5,2,5
"61",105927896,5,4,6,4,5,4,4,4,5,4,6,6,4,4,4,6,2,4,5,4,5,5,5,5,6,6,6,5,4,4,4,4,6,5,5,5,3,4,6,6,4,6
"62",105966206,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4
"63",106087845,6,5,6,6,5,4,4,5,6,6,5,4,4,5,5,4,4,3,3,4,3,3,3,6,5,5,6,5,5,4,3,4,3,4,4,3,3,3,5,5,5,5
"64",106323993,5,5,6,6,6,6,5,5,6,5,5,5,5,6,5,5,6,5,6,4,3,5,5,4,6,6,5,5,5,5,5,5,6,6,6,5,4,5,6,6,3,5
"65",106326264,6,6,6,6,5,2,5,5,6,6,6,6,5,6,6,5,6,6,5,5,1,6,5,5,5,5,5,5,5,5,6,5,6,4.14516129032258,5,4,5,5,6,5,5,6
"66",106327534,5,2,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,3,4,4,4,5,4,4,4,4,4,4,3,5,5,5,3,4,4,4,4,4,4
"67",106483627,4,3,5,5,5,2,2,5,4,5,5,3,5,4,5,4,3,4,3,3,2,3,4,5,4,4,3,4,3,2,3,3,4,4,5,5,3,5,5,5,4,4
